FID,ET_ID,Lat,Lon
87,0,18.603500000000000,-92.453800000000001
88,0,18.602900000000002,-92.453999999999994
89,0,18.602399999999999,-92.454300000000003
90,0,18.601800000000001,-92.454400000000007
91,0,18.601099999999999,-92.454400000000007
92,0,18.600400000000000,-92.454099999999997
93,0,18.599799999999998,-92.453599999999994
94,0,18.599399999999999,-92.453100000000006
95,0,18.599100000000000,-92.452600000000004
96,0,18.598600000000001,-92.452200000000005
97,0,18.598099999999999,-92.451899999999995
98,0,18.597600000000000,-92.451499999999996
99,0,18.597100000000001,-92.451200000000000
100,0,18.596599999999999,-92.450999999999993
101,0,18.596000000000000,-92.450699999999998
102,0,18.595500000000001,-92.450400000000002
103,0,18.594999999999999,-92.450199999999995
104,0,18.594400000000000,-92.449900000000000
105,0,18.590399999999999,-92.447900000000004
106,0,18.584700000000002,-92.443500000000000
107,0,18.584199999999999,-92.443200000000004
108,0,18.583700000000000,-92.442800000000005
109,0,18.582599999999999,-92.442099999999996
110,0,18.582100000000001,-92.441800000000001
111,0,18.581600000000002,-92.441500000000005
112,0,18.581199999999999,-92.441100000000006
113,0,18.580700000000000,-92.440799999999996
114,0,18.579699999999999,-92.440100000000001
115,0,18.579200000000000,-92.439800000000005
116,0,18.578700000000001,-92.439499999999995
117,0,18.578199999999999,-92.439200000000000
118,0,18.577700000000000,-92.438800000000001
119,0,18.577100000000002,-92.438599999999994
120,0,18.576599999999999,-92.438400000000001
121,0,18.576000000000001,-92.438199999999995
122,0,18.575399999999998,-92.438000000000002
123,0,18.574800000000000,-92.437799999999996
124,0,18.574300000000001,-92.437600000000003
125,0,18.573699999999999,-92.437299999999993
126,0,18.572399999999998,-92.436800000000005
127,0,18.571800000000000,-92.436499999999995
128,0,18.571200000000001,-92.436099999999996
129,0,18.570699999999999,-92.435599999999994
130,0,18.570200000000000,-92.435000000000002
131,0,18.569700000000001,-92.434399999999997
132,0,18.569199999999999,-92.433899999999994
133,0,18.568700000000000,-92.433499999999995
134,0,18.568200000000001,-92.433099999999996
135,0,18.567200000000000,-92.432299999999998
136,0,18.566700000000001,-92.431899999999999
137,0,18.566199999999998,-92.431500000000000
138,0,18.565600000000000,-92.431100000000001
139,0,18.565100000000001,-92.430800000000005
140,0,18.564499999999999,-92.430499999999995
141,0,18.563900000000000,-92.430199999999999
142,0,18.563400000000001,-92.429900000000004
143,0,18.562799999999999,-92.429599999999994
144,0,18.561199999999999,-92.428899999999999
145,0,18.560600000000001,-92.428700000000006
146,0,18.560099999999998,-92.428399999999996
147,0,18.559600000000000,-92.428200000000004
148,0,18.559000000000001,-92.427999999999997
149,0,18.558499999999999,-92.427700000000002
150,0,18.557900000000000,-92.427499999999995
151,0,18.557400000000001,-92.427300000000002
152,0,18.556899999999999,-92.427099999999996
153,0,18.556300000000000,-92.426800000000000
154,0,18.555199999999999,-92.426400000000001
155,0,18.554099999999998,-92.425899999999999
156,0,18.553500000000000,-92.425700000000006
157,0,18.552900000000001,-92.425399999999996
158,0,18.552299999999999,-92.425200000000004
159,0,18.551100000000002,-92.424800000000005
160,0,18.550500000000000,-92.424599999999998
161,0,18.549900000000001,-92.424400000000006
162,0,18.549299999999999,-92.424199999999999
163,0,18.548800000000000,-92.424099999999996
164,0,18.547599999999999,-92.423900000000003
165,0,18.547000000000001,-92.423800000000000
166,0,18.546399999999998,-92.423699999999997
167,0,18.545800000000000,-92.423699999999997
168,0,18.545200000000001,-92.423699999999997
169,0,18.544699999999999,-92.423599999999993
170,0,18.544100000000000,-92.423599999999993
171,0,18.543500000000002,-92.423599999999993
172,0,18.542899999999999,-92.423599999999993
173,0,18.542400000000001,-92.423699999999997
174,0,18.541200000000000,-92.423800000000000
175,0,18.532399999999999,-92.423800000000000
176,0,18.531600000000001,-92.423699999999997
177,0,18.530799999999999,-92.423900000000003
178,0,18.530100000000001,-92.424099999999996
179,0,18.529399999999999,-92.424300000000002
180,0,18.528700000000001,-92.424499999999995
181,0,18.528099999999998,-92.424700000000001
182,0,18.526900000000001,-92.424999999999997
183,0,18.526299999999999,-92.425200000000004
184,0,18.525700000000001,-92.425399999999996
185,0,18.525099999999998,-92.425600000000003
186,0,18.524500000000000,-92.425700000000006
187,0,18.523900000000001,-92.425799999999995
188,0,18.523299999999999,-92.426000000000002
189,0,18.522700000000000,-92.426100000000005
190,0,18.522200000000002,-92.426199999999994
191,0,18.521599999999999,-92.426199999999994
192,0,18.521000000000001,-92.426299999999998
193,0,18.520399999999999,-92.426400000000001
194,0,18.519800000000000,-92.426400000000001
195,0,18.519300000000001,-92.426500000000004
196,0,18.518599999999999,-92.426599999999993
197,0,18.518000000000001,-92.426599999999993
198,0,18.517399999999999,-92.426699999999997
199,0,18.516700000000000,-92.426699999999997
200,0,18.515999999999998,-92.426699999999997
201,0,18.515400000000000,-92.426699999999997
202,0,18.514700000000001,-92.426699999999997
203,0,18.513999999999999,-92.426699999999997
204,0,18.513400000000001,-92.426599999999993
205,0,18.512899999999998,-92.426500000000004
206,0,18.512300000000000,-92.426400000000001
207,0,18.511700000000001,-92.426199999999994
208,0,18.511199999999999,-92.426100000000005
209,0,18.510600000000000,-92.425899999999999
210,0,18.510000000000002,-92.425600000000003
211,0,18.509399999999999,-92.425399999999996
212,0,18.508800000000001,-92.425200000000004
213,0,18.508199999999999,-92.424899999999994
214,0,18.507600000000000,-92.424599999999998
215,0,18.507100000000001,-92.424199999999999
216,0,18.506699999999999,-92.423699999999997
217,0,18.506300000000000,-92.423199999999994
218,0,18.505800000000001,-92.422899999999998
219,0,18.505199999999999,-92.422700000000006
220,0,18.504700000000000,-92.422399999999996
221,0,18.504200000000001,-92.422200000000004
222,0,18.503599999999999,-92.421999999999997
223,0,18.497000000000000,-92.419799999999995
224,0,18.496500000000001,-92.419499999999999
225,0,18.495999999999999,-92.419300000000007
226,0,18.495500000000000,-92.418999999999997
227,0,18.495000000000001,-92.418700000000001
228,0,18.494499999999999,-92.418400000000005
229,0,18.493500000000001,-92.417900000000003
