"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18"
"1967-11-30",0.320924563022454,0.157257547072655,0.320924563022454,0.4356055639394,0.495351435522828,0.4356055639394,0.265468516789105,-0.21048153178544,-0.10541602755121,-0.427266257372993,-0.0531708471752698,0.320924563022454,0.320924563022454,0.495351435522828,-0.0531708471752698,0.104139837434901,0.104139837434901,0.210976129650654
"1967-12-31",0.377556452120188,0.210976129650654,0.377556452120188,0.495351435522828,0.4356055639394,0.495351435522828,0.4356055639394,-0.10541602755121,-0.000925666799329282,-0.317317824001193,0.157257547072655,0.320924563022454,0.4356055639394,0.621318903020812,0.0514626084388055,0.157257547072655,0.104139837434901,0.210976129650654
"1968-01-31",0.621318903020812,0.4356055639394,0.621318903020812,0.759046954324643,0.621318903020812,0.688423196686247,0.557123763011063,-0.000925666799329282,0.377556452120188,-0.263599241423194,0.320924563022454,0.320924563022454,0.495351435522828,0.621318903020812,-0.000925666799329282,0.157257547072655,0.104139837434901,0.210976129650654
"1968-02-29",0.688423196686247,0.495351435522828,0.759046954324643,0.759046954324643,1.00130160459478,0.914250718926432,0.557123763011063,0.210976129650654,0.4356055639394,-0.21048153178544,0.4356055639394,0.495351435522828,0.688423196686247,0.688423196686247,-0.0531708471752698,0.157257547072655,0.104139837434901,0.377556452120188
"1968-03-31",0.621318903020812,0.495351435522828,0.759046954324643,0.759046954324643,1.00130160459478,1.00130160459478,0.688423196686247,0.210976129650654,0.557123763011063,-0.0531708471752698,0.557123763011063,0.495351435522828,0.495351435522828,0.621318903020812,-0.0531708471752698,0.157257547072655,0.104139837434901,0.320924563022454
"1968-04-30",1.20499071388783,0.759046954324643,1.09717853320074,1.00130160459478,1.09717853320074,1.20499071388783,1.00130160459478,0.621318903020812,0.833975711843606,0.377556452120188,0.688423196686247,0.0514626084388055,-0.483898146470727,0.0514626084388055,-0.371810211139645,-0.263599241423194,-0.371810211139645,-0.10541602755121
"1968-05-31",1.20499071388783,1.09717853320074,1.09717853320074,1.00130160459478,1.09717853320074,1.20499071388783,1.00130160459478,0.833975711843606,0.833975711843606,0.4356055639394,0.914250718926432,0.0514626084388055,-0.371810211139645,-0.0531708471752698,-0.427266257372993,-0.157804302789345,-0.371810211139645,-0.0531708471752698
"1968-06-30",0.157257547072655,0.157257547072655,0.210976129650654,0.0514626084388055,0.320924563022454,0.157257547072655,0.104139837434901,0.157257547072655,0.104139837434901,0.104139837434901,0.157257547072655,-0.263599241423194,-0.865388648675183,-0.21048153178544,-0.794764891036786,-0.663465457361603,-0.794764891036786,-0.541947258289939
"1968-07-31",1.20499071388783,1.09717853320074,1.32982327992537,1.09717853320074,1.20499071388783,1.32982327992537,1.00130160459478,1.32982327992537,1.32982327992537,1.67849354894698,1.32982327992537,1.20499071388783,0.320924563022454,0.914250718926432,0.495351435522828,0.688423196686247,0.495351435522828,0.557123763011063
"1968-08-31",1.67849354894698,1.20499071388783,1.32982327992537,1.20499071388783,1.20499071388783,1.67849354894698,1.32982327992537,1.67849354894698,1.48094969717728,1.98366328452612,1.48094969717728,1.32982327992537,0.4356055639394,1.09717853320074,0.4356055639394,0.557123763011063,0.377556452120188,0.377556452120188
