FID,ET_ID,Lat,Lon
306,0,30.9173,-105.4535
307,0,30.917,-105.453
308,0,30.9162,-105.4532
309,0,30.9166,-105.4523
310,0,30.9164,-105.452
311,0,30.9161,-105.4513
312,0,30.9167,-105.45
313,0,30.9172,-105.4492
314,0,30.9184,-105.448
315,0,30.9192,-105.4471
316,0,30.9143,-105.4446
317,0,30.9143,-105.4446
318,0,30.9142,-105.4445
319,0,30.9124,-105.4436
320,0,30.9114,-105.4433
321,0,30.911,-105.4429
322,0,30.9084,-105.4416
323,0,30.9039,-105.4274
324,0,30.9023,-105.4265
325,0,30.901,-105.4253
326,0,30.901,-105.4206
327,0,30.9003,-105.4182
328,0,30.9003,-105.4163
329,0,30.9003,-105.4162
330,0,30.8974,-105.4152
331,0,30.8973,-105.4152
332,0,30.8916,-105.4133
333,0,30.8889,-105.4124
334,0,30.8894,-105.411
335,0,30.8893,-105.4109
336,0,30.8901,-105.4064
337,0,30.8917,-105.4051
338,0,30.8921,-105.4041
339,0,30.8894,-105.4001
340,0,30.8872,-105.4011
341,0,30.8802,-105.4045
342,0,30.8796,-105.4032
343,0,30.878,-105.4014
344,0,30.8769,-105.3996
345,0,30.8766,-105.3981
346,0,30.8765,-105.3978
347,0,30.8766,-105.3967
348,0,30.8753,-105.394
349,0,30.8742,-105.3917
350,0,30.8742,-105.3917
351,0,30.8717,-105.3949
352,0,30.871,-105.3948
353,0,30.8697,-105.394
354,0,30.8685,-105.3938
355,0,30.8677,-105.3942
356,0,30.8666,-105.3956
357,0,30.866,-105.3957
358,0,30.8636,-105.3949
359,0,30.8626,-105.3945
360,0,30.8623,-105.3945
361,0,30.8599,-105.3967
362,0,30.8581,-105.3988
363,0,30.8574,-105.3992
364,0,30.8569,-105.3998
365,0,30.8548,-105.3997
366,0,30.8546,-105.3996
367,0,30.8532,-105.4012
368,0,30.8505,-105.3962
369,0,30.8531,-105.3892
370,0,30.8532,-105.389
371,0,30.8534,-105.3885
372,0,30.8537,-105.3877
373,0,30.8534,-105.3869
374,0,30.8528,-105.3861
375,0,30.8523,-105.3851
376,0,30.8516,-105.3821
377,0,30.85,-105.3769
378,0,30.8488,-105.3738
379,0,30.8478,-105.3721
380,0,30.8475,-105.3702
381,0,30.8475,-105.3695
382,0,30.8474,-105.369
383,0,30.8475,-105.3687
384,0,30.8475,-105.3686
385,0,30.8477,-105.3677
386,0,30.8482,-105.3662
387,0,30.849,-105.3647
388,0,30.8504,-105.3617
389,0,30.8451,-105.3582
390,0,30.8378,-105.3534
391,0,30.8375,-105.3534
392,0,30.8374,-105.3535
393,0,30.8366,-105.3535
394,0,30.8356,-105.3526
395,0,30.8356,-105.3525
396,0,30.8353,-105.3513
397,0,30.8353,-105.35
398,0,30.8358,-105.3486
399,0,30.836,-105.3484
400,0,30.8371,-105.3477
401,0,30.8371,-105.3477
402,0,30.8375,-105.3467
403,0,30.84,-105.3398
404,0,30.8398,-105.3393
405,0,30.8395,-105.3389
406,0,30.8336,-105.3371
407,0,30.8311,-105.3282
408,0,30.8285,-105.3288
409,0,30.8255,-105.3296
410,0,30.8269,-105.3242
411,0,30.8276,-105.3215
412,0,30.8273,-105.3209
413,0,30.8278,-105.3195
414,0,30.8281,-105.3194
415,0,30.8283,-105.3186
416,0,30.8247,-105.3182
417,0,30.816,-105.3171
418,0,30.8134,-105.318
419,0,30.8118,-105.3175
420,0,30.8117,-105.3166
421,0,30.8109,-105.3165
422,0,30.8115,-105.3158
423,0,30.8115,-105.3154
424,0,30.8132,-105.3124
425,0,30.8148,-105.3108
426,0,30.8165,-105.3101
427,0,30.8166,-105.3096
428,0,30.8135,-105.308
429,0,30.8131,-105.3083
430,0,30.8108,-105.3078
431,0,30.81,-105.3065
432,0,30.8102,-105.3064
433,0,30.8098,-105.3062
434,0,30.8109,-105.3058
435,0,30.8126,-105.3042
436,0,30.8152,-105.3026
437,0,30.8177,-105.3008
438,0,30.8223,-105.3003
439,0,30.8242,-105.2995
440,0,30.8258,-105.2912
