OBJECTID,ID,CVE_SUBCUE,CVE_RH,RH,CVE_CUE,CUENCA,CVE_SUBC,SUBCUENCA,AREA_KM2,PERIMETRO,Lon,Lat
148,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.141211249,29.7360826748
149,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.141265924,29.7355468515
150,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.141134702,29.7351750547
151,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.14078728,29.7349142009
152,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.140207475,29.7343620073
153,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.140041816,29.7339754715
154,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.13968289,29.7330091302
155,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.139627671,29.7322912778
156,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.139600061,29.731242108
157,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.139848548,29.7303309878
158,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-105.140019314,29.7296965305
