OBJECTID_1,Lon,Lat
189,-105.145668215,28.0265787318
190,-105.144264683,28.0221298207
191,-105.144249032,28.0164935186
192,-105.147361359,28.0137231723
193,-105.15141377,28.0117668006
194,-105.153661661,28.0106119038
195,-105.154162304,28.010580468
196,-105.155958841,28.0096740863
197,-105.161468781,28.0091207101
198,-105.163613336,28.0054257168
199,-105.162208923,28.0008546814
200,-105.161041993,27.9919382307
201,-105.156944255,27.9911113094
202,-105.157021384,27.9873888311
203,-105.154548651,27.9839038952
204,-105.151413325,27.9810267446
205,-105.151458398,27.9773410324
206,-105.150329324,27.9727462449
207,-105.148696176,27.9718078033
208,-105.148663189,27.9713561701
209,-105.146241768,27.9696369784
210,-105.144027334,27.9633141167
211,-105.147064619,27.9604974841
212,-105.146888716,27.9567820367
213,-105.144347071,27.9539862081
214,-105.14420175,27.9529835288
215,-105.146357999,27.951697554
216,-105.146789897,27.9514951598
217,-105.146958759,27.9513392632
218,-105.14906927,27.9500805658
219,-105.149356112,27.9491181752
220,-105.149779526,27.9487223287
221,-105.150725609,27.944129839
222,-105.150542431,27.9404325408
223,-105.147407263,27.935195704
224,-105.146225202,27.9306514072
225,-105.144217906,27.9268764589
226,-105.142051322,27.9232470856
227,-105.142104739,27.9196310268
228,-105.140318789,27.9154218407
229,-105.137633317,27.9122707305
230,-105.135497788,27.9064710881
231,-105.132293443,27.903798222
232,-105.128104749,27.9020470136
233,-105.126081979,27.9001110457
234,-105.124585246,27.8940628783
235,-105.122505522,27.8912775241
236,-105.12076717,27.8913061406
237,-105.11610057,27.8950723304
238,-105.114847038,27.8950933386
239,-105.114760311,27.8914868198
240,-105.110594818,27.8879474614
241,-105.107442805,27.8852391045
242,-105.10638632,27.8815718635
243,-105.108835958,27.8782669134
244,-105.10574277,27.8713723455
245,-105.104770093,27.8709924826
246,-105.104063646,27.8676623066
247,-105.103872379,27.8627362368
248,-105.099745321,27.8626617343
249,-105.094487886,27.86399792
250,-105.09035261,27.8620636464
251,-105.087430658,27.8591400044
252,-105.085423467,27.855354927
253,-105.082730823,27.8522186466
254,-105.079675197,27.8512877385
255,-105.079583369,27.8511841762
256,-105.076646046,27.8460243708
257,-105.077393032,27.8368971505
258,-105.075043306,27.8345467822
259,-105.072565163,27.8345887311
260,-105.071512608,27.8356906362
261,-105.068264186,27.8361775103
262,-105.067078504,27.8374535745
263,-105.066342801,27.8371757371
264,-105.060474563,27.8364161292
265,-105.055194908,27.835468688
266,-105.052228127,27.8384253361
267,-105.049585981,27.8398133569
268,-105.046902011,27.837174934
269,-105.044930203,27.8369882689
270,-105.044151999,27.8376520423
271,-105.042910535,27.8395140958
272,-105.040668383,27.8376934147
273,-105.041057884,27.8331633974
274,-105.035053835,27.8378014134
275,-105.03086499,27.8360543661
276,-105.028174873,27.8349034093
277,-105.028910733,27.8309531471
278,-105.027755243,27.829452559
279,-105.02474359,27.8301505075
280,-105.023104826,27.8284423325
281,-105.020704089,27.8288957977
282,-105.02038916,27.82858108
283,-105.019450773,27.8236143779
284,-105.011455295,27.8228249233
285,-105.008334074,27.8255755394
286,-105.005312521,27.8284034117
287,-105.002124209,27.8257229176
288,-104.997919891,27.8239843383
289,-104.996609994,27.823894621
290,-104.99661455,27.8236528653
291,-104.999224178,27.8212244988
292,-105.008922954,27.8160807751
293,-105.011143717,27.8162611647
294,-105.016505245,27.81335376
295,-105.020000067,27.8128635539
296,-105.022128516,27.8102271859
297,-105.022000532,27.8080560813
298,-105.017988677,27.8044343577
299,-105.016174451,27.8014216351
300,-105.008742155,27.7969830024
301,-105.00642994,27.7939814638
302,-105.006811101,27.791586883
303,-105.010020465,27.7917536974
304,-105.011332683,27.7904310563
305,-105.00602482,27.7879104401
306,-105.005920316,27.7853082455
307,-105.012772339,27.7778216583
308,-105.014831012,27.7719286915
309,-105.01806543,27.7716597357
310,-105.019352012,27.770770344
311,-105.020843392,27.7661908765
312,-105.019301753,27.7627425547
313,-105.025947148,27.7589453571
314,-105.029212958,27.7625828333
315,-105.030911414,27.7632053683
316,-105.040201207,27.7608873981
317,-105.043422953,27.7608367726
318,-105.047562724,27.7620721929
319,-105.051848824,27.7607007124
320,-105.052639013,27.7598179648
321,-105.052098455,27.7561371611
322,-105.052820762,27.7519999811
323,-105.059477226,27.7479890147
324,-105.062074261,27.7457738478
325,-105.063750267,27.7422748798
326,-105.06553172,27.7413780543
327,-105.068151337,27.7432883896
328,-105.072766142,27.7403904269
329,-105.080906785,27.7409095084
330,-105.0881385,27.7399233352
331,-105.09227953,27.7365984651
332,-105.103333835,27.7381524316
333,-105.116254709,27.7372868098
334,-105.123650469,27.7332563308
335,-105.125573341,27.7343108327
336,-105.130587787,27.7331416268
337,-105.135482183,27.7295868037
338,-105.139763683,27.7282126018
339,-105.148623341,27.7291490146
