"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"1963-07-31",87.49,75.5400000000001,8.05000000000001,16.33,58.4900000000001,65.26,59.9999999999999,64.1199999999999,24.37,32.4500000000001,39.9499999999999,54.4600000000001,60.7400000000001,58.0599999999999,18.48,12.81,11.2,65.5199999999999,64.09,27.53,17.44,18.85,42.55,33.2300000000001,32.7,48.4800000000001,41.0099999999999
"1963-08-31",40.2700000000001,48.9500000000001,37.83,22.38,28.53,44.73,57.7699999999999,64.8099999999999,46.7800000000001,49.3899999999999,62.3500000000002,75.64,77.4399999999999,70.4099999999998,69.1000000000001,61.37,65.3100000000001,92.9399999999999,90.05,83.9100000000001,73.1200000000002,72.0500000000001,111.33,92.7400000000001,87.6300000000001,122.85,105.57
"1963-09-30",74.58,71.7500000000001,24.93,23.23,56.19,60.36,55.9299999999999,48.54,35.04,34.0299999999999,41.8299999999999,31.1300000000001,29.18,34.0599999999999,41.0600000000001,34.9700000000001,34.7900000000001,15.13,18.41,44.1099999999999,37.5099999999999,33.5000000000001,62.28,47.67,39.2799999999999,69.87,55.4000000000001
"1963-10-31",25.63,26.17,3.55999999999999,5.60000000000001,14.09,17.02,22.61,22.86,12.95,17.93,24.49,22.65,22.13,25.72,18.32,27.47,29.45,21.01,21.43,16.67,24.36,26.47,9.01000000000001,16.09,21.86,6.93999999999998,13.89
"1963-11-30",38.49,34.7000000000001,6.65000000000001,7.14999999999999,17.18,25.66,28.05,27.6,7.11,10.26,19.85,24.03,25.43,29.89,5.58,8.49,8.91999999999999,26.2,26.02,6.27999999999999,8.04999999999999,10.24,3.32000000000001,6.89000000000001,10.3,1.85,5.09000000000001
"1963-12-31",0.0599999999999999,0.2,0.0899999999999999,0.0799999999999999,0.03,0.00999999999999999,0,0,0.05,0.03,0,0,0,0,0.02,0.00999999999999999,0,0,0,0.00999999999999999,0.00999999999999999,0,0.00999999999999999,0.00999999999999999,0,0,0
"1964-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1964-02-29",0.55,0.59,0.11,0.27,1.01,0.950000000000001,0.630000000000001,0.479999999999999,0.360000000000001,0.449999999999999,0.370000000000001,0.24,0.22,0,0,0.11,0.0400000000000001,0.02,0.0700000000000001,0,0,0,0,0,0,0,0
"1964-03-31",2.86,3.08,0.26,0.599999999999999,2.05,3.26000000000001,3.88000000000001,4.37,1.03,2.28,3.72,5.37999999999999,5.79999999999999,5.92,1.56,1.77,1.91,7.2,7.03,1.44,1.79,2.4,0.789999999999999,1.66,3,0.779999999999999,2.04
"1964-04-30",0,0.63,0.350000000000001,0.519999999999999,1.05,1.04,3.48999999999999,4.44999999999999,2.58,5.51000000000001,6.78,6.95000000000001,6.84,6.24,8.15000000000001,9.36,10.19,8.07999999999999,7.8,9.84999999999999,10.12,10.06,11.4,10.47,9.66999999999999,11.63,9.89000000000001
"1964-05-31",2.14,3.60000000000001,1.28,0.880000000000002,4.34999999999999,3.31999999999999,9.18000000000001,10.76,7.85,14.92,17.47,15.3,14.41,14.08,16,26.31,28.49,15.27,15.16,15.89,23.5,25.17,8.82,15.22,18.97,5.72,10.61
"1964-06-30",23.36,26.32,3.63999999999999,3.72999999999999,13.15,19.15,37.05,43.3899999999999,16.75,38.1800000000001,52.7000000000001,57.6399999999999,58.14,57.9,43.77,61.4799999999999,67.14,67.4799999999999,65.28,50.7,61.4300000000001,64.7300000000001,50.8100000000001,59.73,65.2599999999999,54.0200000000001,56.3300000000001
"1964-07-31",1.92,7.30999999999999,4.53000000000002,2.56,4.61000000000001,0.73,7.27,8.22000000000001,12.44,17.9,18.49,11.7,9.56000000000001,16.03,23.52,34.5199999999999,37.1800000000001,7.3,9.23999999999999,26.33,32.5799999999999,32.0500000000001,24.6,25.67,27.5,19.38,20.16
"1964-08-31",1.71,7.16,9.22000000000001,5.03,3.24999999999999,2.14,6.84000000000001,8.54999999999999,11.93,12.71,14.08,13.14,12.58,16.81,18.86,21.28,22.94,14.14,14.96,20.07,20.71,21.03,19.69,19.79,21.75,19.18,19.48
"1964-09-30",2.47,8.19999999999999,15.45,8.88999999999999,4.44,1.03,1.9,2.46,11.56,3.53000000000001,3.47000000000001,3.93,3.96999999999999,19.65,11.47,4.53,4.79000000000001,4.89999999999999,8.37,10.35,4.53999999999999,4.68999999999999,10.59,13.03,17.35,26.49,24.97
"1964-10-31",7.82999999999999,7.37999999999999,6.37999999999999,4.00999999999999,6.23,6.08000000000002,4.93999999999999,4.02000000000001,5.53000000000001,1.86,2.4,1.69,1.63,1.56,3.55999999999999,0.460000000000001,0.18,0.17,0.350000000000001,2.89,0.460000000000001,0.29,2.98,0.860000000000001,0.799999999999999,2.14,1.98
"1964-11-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1964-12-31",1.01,2.91,2.17,2.37,2.64,0.669999999999998,5.95000000000001,6.84000000000001,8.15000000000001,13.87,14.72,9.84000000000001,8.29000000000001,15.13,17.24,26.79,28.91,6.89,8.78,19.66,25.35,25.06,18.37,19.03,21.59,12.4,13.24
"1965-01-31",0.389999999999999,1.28,3.41999999999999,1.67,0.570000000000002,0.05,0.72,0.779999999999999,3.50000000000001,2,1.95,1.07,0.799999999999999,2.4,4.36000000000001,3.88000000000001,4.17,0.42,0.870000000000001,4.33000000000001,3.64000000000001,3.55,4.17,3.31999999999999,3.67000000000001,3.44,3.41999999999999
"1965-02-28",0.409999999999999,1.17,4.42,2.36,1.16,0.829999999999999,1.5,2.13,3.15,1.29,2.04,3.54999999999999,3.89999999999999,7.04999999999999,3.59000000000001,1.06,1.2,5.41000000000001,5.91000000000001,3.08,1.33,1.7,3.38000000000001,2.09,3.53999999999999,2.35,2.47
"1965-03-31",0,0.00999999999999999,0.499999999999999,0.19,0.00999999999999999,0,0,0,0.379999999999999,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0
"1965-04-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1965-05-31",1.61,4.64000000000001,0.93,0.760000000000001,0.870000000000001,0.17,0.17,0.14,0.52,0.03,0.0699999999999999,0.05,0.05,1.91,0.41,0.00999999999999999,0,0.00999999999999999,0.42,0.00999999999999999,0.00999999999999999,0,0.00999999999999999,0.00999999999999999,0,0,0
"1965-06-30",1.79,5.28,9.84,6.59000000000001,4.32,3.90999999999999,6.71000000000001,9.60999999999999,6.44000000000001,5.24000000000001,8.7,16.15,17.85,22.69,7.44999999999999,3.32000000000001,3.83000000000001,25.05,25.11,9.53000000000001,6.45999999999999,7.31000000000001,13.59,11.36,12.03,15.31,13.91
"1965-07-31",1.34,4.47000000000001,4.51,3.20999999999999,1.79,0.640000000000001,1.15,1.49,3.62,2.14,2.1,2.37,2.39,2.36,4.47000000000001,2.78,2.92,2.94,2.86,3.88000000000001,3.33000000000001,3.14,5.02000000000001,4.12000000000001,6.20999999999999,7.46000000000001,9.30999999999999
"1965-08-31",9.36000000000001,20.63,30.8,16.38,15.62,18.02,29.73,32.6100000000001,40.0199999999999,39.0400000000001,43.5300000000001,35.89,35.73,38.0899999999998,69.8900000000001,70.46,76.0499999999999,31.9900000000001,33.18,67.7200000000001,72.6800000000001,70.75,75.0599999999998,69.91,65.5999999999999,77.5500000000001,68.9899999999999
"1965-09-30",9.63999999999999,21.32,15.6,14.03,15.98,15.46,32.64,42.2499999999999,21.45,38.8299999999999,52.05,65.64,68.0000000000001,69.3800000000001,39.2600000000001,55.05,60.1899999999999,86.3600000000001,84.2000000000001,49.0899999999999,56.6600000000001,62.01,44.4200000000001,52.0100000000001,62.9300000000001,44.1,52.53
"1965-10-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1965-11-30",1.31,3.9,1.03,1.05,1.02,2.21,4.07000000000001,5.06000000000001,1.67,3.29000000000001,4.67000000000001,6.65000000000001,6.72999999999999,5.22,4.89999999999999,4.17,4.56999999999999,8.82999999999999,8.18000000000001,6.35000000000001,5.39000000000001,5.43999999999999,8.4,7.08999999999999,6.39999999999999,8.85999999999999,7.19000000000001
"1965-12-31",1.03,3.38,1.83,1.89,1.59,1.59,3.91000000000001,5.16000000000001,2.82,5.58999999999999,6.92,8.25000000000001,8.43000000000001,12.16,7.17999999999999,8.23,8.94000000000001,10.59,11.16,7.78,8.58,9.06,7.62999999999998,8.16,9.19000000000001,7.78999999999999,8.43000000000001
"1966-01-31",0.02,0.05,0.02,0.04,0.0599999999999999,0,0.860000000000001,0.94,1.38,2.28,2.35,1.28,0.960000000000001,0.960000000000001,2.77,4.62999999999999,4.99,0.499999999999999,0.589999999999999,2.45,3.95000000000001,4.12000000000001,1.06,2.2,2.64,0.479999999999999,1.24
"1966-02-28",1.42,1.18,0.54,0.25,0.49,0.89,1.87,2.03,1.43,2.23,2.83000000000001,2.43,2.28,3.86,2.64,4.07,4.43000000000001,2.23,2.55,2.3,3.58,3.86,1.03,2.16,2.74,0.49,1.28
"1966-03-31",0,0,4.06999999999999,1.55,0.02,0.00999999999999999,0.14,0.16,3.27,0.41,0.389999999999999,0.21,0.16,2.01,2.99,0.779999999999999,0.83,0.0799999999999999,0.589999999999999,0.42,0.670000000000001,0.689999999999999,0.18,0.369999999999999,0.440000000000001,0.0799999999999999,0.21
"1966-04-30",7.97000000000001,6.99,2.55,2.7,5.52999999999999,5.61999999999999,5.07999999999999,9.42,4.2,3.74000000000001,4.64000000000001,3.57,5.15000000000001,8.93000000000001,3.74000000000001,4.94000000000001,5.30000000000001,2.34,3.47000000000001,2.84,4.31000000000001,4.56999999999999,1.28,2.6,4.86999999999999,1.88,4.58000000000001
"1966-05-31",14.2,15.28,10.56,6.1,10.23,9.71,11.07,14.74,12.04,13.8,12.59,12.98,15.42,17.5,17.64,15.31,15.57,13.67,14.48,18.62,16.59,15.8,24.66,20.18,18.22,27.21,22.85
"1966-06-30",91.0599999999999,90.1299999999999,45.8600000000001,31.8999999999999,57.5600000000001,56.8400000000001,59.3499999999999,71.3300000000001,55.6700000000001,56.76,58.23,58.9599999999999,60.1599999999999,61.6299999999999,59.13,59.13,62.7500000000001,58.41,59.0499999999999,48.51,57.0399999999999,59.9799999999999,43.4900000000001,49.7000000000001,58.9599999999999,44.49,52.8699999999999
"1966-07-31",13.18,16.49,9.89999999999999,5.65999999999999,10.34,15.6,19.91,35.5899999999999,12.81,19.94,22.02,26.6,36.0000000000001,44.4600000000001,18.02,21.98,23.68,31.4300000000001,33.7399999999999,18,21.55,23.64,15.35,18.87,21.62,13.59,15.59
"1966-08-31",91.3099999999999,91.3999999999999,110.39,111.16,109.31,104.99,102.27,110.76,115.64,121.34,114.78,100.03,105.99,121.69,126.22,136.3,138.21,89.2600000000001,95.0499999999999,119.34,130.19,129.77,108.43,116.05,125.57,110.5,124.31
"1966-09-30",52.6299999999999,46.9299999999999,62.5700000000001,65.1099999999999,72.0500000000001,65.9000000000001,59.6000000000001,58.3700000000001,71.07,69.8900000000001,66.6,48.96,44.2700000000001,50.34,76.7499999999999,85.0599999999999,86.6300000000001,33.45,36.27,69.84,79.3400000000001,78.06,61.3700000000001,66.7400000000001,66.39,58.02,60.8900000000001
"1966-10-31",26.95,27.9,44.6800000000001,44.8400000000001,36.3200000000001,31.7,30.61,28.65,39.98,38.1700000000002,32.9200000000001,30.85,33.1500000000001,37.0699999999999,34.8899999999999,34.2899999999999,34.18,29.97,31.3,27.54,31.7,32.7,17.84,24.89,30.61,16.09,25.79
"1966-11-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1966-12-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1967-01-31",0,0,0,0,0,0,0,6.81000000000001,0,0,0,1.03,7.37999999999999,10.34,0,0,0,2.64,6.1,0,0,0.32,0,0,0.799999999999999,0,0
"1967-02-28",2.8,2.36,4.75,4.57000000000001,3.40999999999999,2.56,2.14,0.98,3.33999999999999,2.09,1.4,3.80000000000001,4.58999999999999,4.79000000000001,1.66,0.54,0.18,2.14,3.98,0.920000000000001,0.520000000000001,0.969999999999999,0.339999999999999,0.459999999999999,1.86,0.19,0.409999999999999
"1967-03-31",17.63,16.92,8.96999999999999,10.8,9.68999999999999,12.73,12.42,9.68,7.57000000000001,5.62,4.24999999999999,6.30999999999999,4.72999999999999,3.89,2.87,1.08,0.469999999999999,2.48,3.20999999999999,1.58,0.989999999999999,1.27,0.72,1.43,1.81,0.650000000000001,1.49
"1967-04-30",2.05,2.26,0,0,0,1.19,1.4,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800000000000001,0.0999999999999999,0.06,0.16
"1967-05-31",0,0,0.51,0.2,0.28,0,0,7.12000000000001,0.4,0.25,0.17,0,5.95000000000001,8.60000000000001,0.31,0.0899999999999999,0.03,1.99,4.51999999999999,0.2,0.0999999999999999,0,0.0999999999999999,0,0,0,0
